DNP3point,phase,Index,Measurement mRID,ConductingEquipment,Device Name
l22_Vrms.o3,C,56,_e3034fb7-2e1f-43b1-9165-ffb4c9dfffdd,_AF5EE15A-277B-48EA-B77F-3FB12F2C929D,DNP3 Slave
l23_Vrms.o3,C,57,_920954ba-f3c8-46d2-8b7a-98b516aa6879,_CACC3CF3-48A7-4107-91C9-823B9D88135D,DNP3 Slave
l24_Vrms.o1,A,58,_2777e265-d75f-4593-bfaa-12d2f026bb29,_A289AD3A-E8DE-48F1-A1D3-62E8C3300FF2,DNP3 Slave
l24_Vrms.o2,B,59,_dddb225b-f2e5-4a5f-8dc0-c6e2c1b36239,_A289AD3A-E8DE-48F1-A1D3-62E8C3300FF2,DNP3 Slave
l24_Vrms.o3,C,60,_bfa5ad57-d8b0-46aa-b815-fef6af4b8289,_A289AD3A-E8DE-48F1-A1D3-62E8C3300FF2,DNP3 Slave
l25_Vrms.o1,A,61,_cdda76fe-6fd3-4329-829f-fb40b563ffe5,_8B5CE634-E404-4F03-9597-B7A35589E56B,DNP3 Slave
l25_Vrms.o3,C,62,_dd391e28-e0a6-4d9e-b68d-3b948fd03632,_8B5CE634-E404-4F03-9597-B7A35589E56B,DNP3 Slave
l26_Vrms.o1,A,63,_2ba942e8-d6d2-4866-b3d8-50a4b6aa6601,_4F2BB5D7-4E4A-4191-A5D0-DFDB4E04F3BC,DNP3 Slave
l26_Vrms.o2,B,64,_2dc8988d-c9f7-46e0-8aaf-1aa1cfd1fde2,_4F2BB5D7-4E4A-4191-A5D0-DFDB4E04F3BC,DNP3 Slave
l26_Vrms.o3,C,65,_cffa8593-a224-456f-a0a2-0e6795eb3d8b,_4F2BB5D7-4E4A-4191-A5D0-DFDB4E04F3BC,DNP3 Slave
l27_Vrms.o1,A,66,_2e264a05-a4b0-41ff-a9db-f52d283e0072,_CC4C3CA9-CBDF-4986-A6EF-96E44AAB5CA1,DNP3 Slave
l27_Vrms.o3,C,67,_e9ee43cc-b50f-4dc1-8f22-140ec1ec0be3,_CC4C3CA9-CBDF-4986-A6EF-96E44AAB5CA1,DNP3 Slave
l28_Vrms.o3,C,68,_287ce2f0-f124-420a-a19a-ba88cdc87a97,_E6D93292-1744-4521-925F-FB8312594671,DNP3 Slave
l29_Vrms.o1,A,69,_098c0e65-cbee-4d71-9234-a9ddb3d455dc,_5262D65A-FF6D-4384-905D-4E1BB517BCCC,DNP3 Slave
