DNP3point,phase,Index,Measurement mRID,ConductingEquipment,Device Name
l54_Vrms.o3,C,124,_3beb5151-0fb5-4e82-b3a6-9a9688b4c826,_22C80CC0-542E-4E06-A772-98862123B560,DNP3 Slave
l55_Vrms.o1,A,125,_c95f7c58-5dd9-493c-b0eb-6c20610ba36b,_31C19D78-ED04-4D3A-A4FA-32A597EB1008,DNP3 Slave
l55_Vrms.o2,B,126,_414d372d-e924-40f4-a6d2-bec753392166,_31C19D78-ED04-4D3A-A4FA-32A597EB1008,DNP3 Slave
l55_Vrms.o3,C,127,_017f0352-5826-470d-8415-d1012ec28c10,_31C19D78-ED04-4D3A-A4FA-32A597EB1008,DNP3 Slave
l56_Vrms.o1,A,128,_537ccd4b-6a0d-4a81-99a4-559ae8697329,_CC49B9D2-A1E2-40E6-901C-504CFFC3CC6D,DNP3 Slave
l56_Vrms.o2,B,129,_b05578dc-d72d-47bf-b5dd-6e322691b9ce,_CC49B9D2-A1E2-40E6-901C-504CFFC3CC6D,DNP3 Slave
l56_Vrms.o3,C,130,_348b745b-f082-4aa9-9dff-3fa148c6c827,_CC49B9D2-A1E2-40E6-901C-504CFFC3CC6D,DNP3 Slave
l57_Vrms.o2,B,131,_febbed58-8c08-4a1d-a851-be4c9e7ff59e,_AFFAFF34-A2E9-4588-9582-F0D6BA37DEA4,DNP3 Slave
l59_Vrms.o2,B,132,_4d9ff70c-993f-4788-93fc-bbf4b26fdb1c,_BF4A1987-C61E-4800-9C41-1A3F569C731B,DNP3 Slave
l6_Vrms.o3,C,133,_626c79b8-3ca6-40d4-8639-406e4cc36beb,_5EF8FA72-29BA-4738-9CDD-317DD299F4BF,DNP3 Slave
l61_Vrms.o1,A,134,_5b502571-9a51-4fed-b856-f30e3176d007,_79984B89-72F2-437E-BE53-4A511BB96ECD,DNP3 Slave
l61_Vrms.o2,B,135,_496c52f8-70a4-44e4-9a1a-4543a2a3ac71,_79984B89-72F2-437E-BE53-4A511BB96ECD,DNP3 Slave
l61_Vrms.o3,C,136,_0fb6d41d-f815-436b-855a-2c01a6c49e26,_79984B89-72F2-437E-BE53-4A511BB96ECD,DNP3 Slave
l62_Vrms.o1,A,137,_a7a3d5bd-3474-484a-ad3f-82555e739d92,_13BB6A20-D5A9-4085-84C1-49B47CFC6A30,DNP3 Slave
l62_Vrms.o2,B,138,_829ffb49-b84c-4e0d-b9bf-78c5c0ea85cd,_13BB6A20-D5A9-4085-84C1-49B47CFC6A30,DNP3 Slave
l62_Vrms.o3,C,139,_0282d314-4846-4573-881a-4d4b05289d46,_13BB6A20-D5A9-4085-84C1-49B47CFC6A30,DNP3 Slave
l63_Vrms.o1,A,140,_ad118314-79b4-4e5e-b003-155c81374cb7,_93C16567-2B6A-4CDE-B628-F589A09B5D50,DNP3 Slave
l63_Vrms.o2,B,141,_74cbc4ed-a48f-4f4a-b877-85fe0a271437,_93C16567-2B6A-4CDE-B628-F589A09B5D50,DNP3 Slave
l63_Vrms.o3,C,142,_d819164b-039f-4013-bcd4-72dac3e5ac1b,_93C16567-2B6A-4CDE-B628-F589A09B5D50,DNP3 Slave
l64_Vrms.o1,A,143,_8b182e55-3904-43d6-87ea-5e567129f324,_DD8AF173-BD16-4089-9ABE-E896CBC6E05F,DNP3 Slave
l64_Vrms.o2,B,144,_b428cd45-2462-40e0-8af9-afee76759af8,_DD8AF173-BD16-4089-9ABE-E896CBC6E05F,DNP3 Slave
l64_Vrms.o3,C,145,_110ffcb0-1208-411d-9257-e1bfc99a6ed2,_DD8AF173-BD16-4089-9ABE-E896CBC6E05F,DNP3 Slave
l65_Vrms.o1,A,146,_10cfe9de-d832-4c86-8f2d-739bb3ff8c40,_03EEFED8-A4CA-4635-825E-E0CA20A1C259,DNP3 Slave
l65_Vrms.o2,B,147,_4ef10e7b-649a-4be6-be12-81d92da7fd02,_03EEFED8-A4CA-4635-825E-E0CA20A1C259,DNP3 Slave
l65_Vrms.o3,C,148,_5b8bcac3-3eb3-483c-96c6-558ec8768551,_03EEFED8-A4CA-4635-825E-E0CA20A1C259,DNP3 Slave
l66_Vrms.o1,A,149,_4fada9f1-85c6-4805-9e50-5b2b1f505dfb,_7BD0F369-A91A-41FB-9B14-BC0CBF3FB97C,DNP3 Slave
l67_Vrms.o1,A,150,_7908e5f4-addc-471f-b7ae-61820d6d9e79,_ED2F8B10-49AC-430A-B9F9-F0DEBBC37F30,DNP3 Slave
l67_Vrms.o2,B,151,_9c49041c-4ccb-4070-a5e1-4fbec486bc13,_ED2F8B10-49AC-430A-B9F9-F0DEBBC37F30,DNP3 Slave
l67_Vrms.o3,C,152,_480daaa2-899c-4197-aae4-6ab9612e818f,_ED2F8B10-49AC-430A-B9F9-F0DEBBC37F30,DNP3 Slave
l69_Vrms.o1,A,153,_1239a9ad-0b4e-4f8e-b1ea-59474eada868,_992AFE75-6B4B-4CD1-B4E9-A1716288C2AA,DNP3 Slave
l70_Vrms.o1,A,154,_f3179a28-cf3a-466f-923d-45a059816ca9,_4D4223F8-B722-45D0-8AEF-EE12A9DE229C,DNP3 Slave
l71_Vrms.o1,A,155,_1307c9d4-15eb-48d8-9285-20f5850cf79d,_911896B9-1D5F-4F64-85E3-A51D52FC4AC7,DNP3 Slave
l72_Vrms.o3,C,156,_8e2721a9-df35-4532-8b05-bc37f91f917c,_852FEDDD-F35E-4B75-BE91-1D3D60236DAE,DNP3 Slave
l73_Vrms.o1,A,157,_9444f761-96f4-4056-9827-64b0cb73bb8e,_AC9ACC0D-01EA-4591-8C20-3D9D4AB8A045,DNP3 Slave
l73_Vrms.o2,B,158,_101d2be5-210c-4d3b-b810-29bb17509fca,_AC9ACC0D-01EA-4591-8C20-3D9D4AB8A045,DNP3 Slave
l73_Vrms.o3,C,159,_30469735-247c-4e1e-b77f-6f14a9d987da,_AC9ACC0D-01EA-4591-8C20-3D9D4AB8A045,DNP3 Slave
l74_Vrms.o3,C,160,_244797ba-3ecb-4046-9b3c-a5cb01d4063d,_95220A55-9987-4E4B-B5F7-E4605E7DE3A7,DNP3 Slave
l75_Vrms.o3,C,161,_68555d3f-ff85-4d2f-91c0-4866a09d7951,_1C04143A-F9DA-4454-8DEB-6655B4AFDE5D,DNP3 Slave
l76_Vrms.o1,A,162,_ec435783-9c64-4e46-a5a8-fccc6820ccd8,_85D8841B-69D6-4392-BA78-2749C65C0240,DNP3 Slave
l76_Vrms.o2,B,163,_f1d58a5a-c9cc-4a02-8031-cb8a1c41633d,_85D8841B-69D6-4392-BA78-2749C65C0240,DNP3 Slave
l76_Vrms.o3,C,164,_ee51cbdb-677a-467c-baba-e6c62b61e622,_85D8841B-69D6-4392-BA78-2749C65C0240,DNP3 Slave
l77_Vrms.o1,A,165,_4cd5da14-6fb1-48a4-a1f5-9473d064c50b,_3E03A34E-B192-4A4C-8F56-6ACE62CE8B8A,DNP3 Slave
l77_Vrms.o2,B,166,_9e5c8cc9-505d-4f30-bd9c-7a2dfb988abb,_3E03A34E-B192-4A4C-8F56-6ACE62CE8B8A,DNP3 Slave
l77_Vrms.o3,C,167,_b1e117de-b3d2-4ad6-8849-c3577af74905,_3E03A34E-B192-4A4C-8F56-6ACE62CE8B8A,DNP3 Slave
